,subject,body,department
140,AuraPods Gen 2 overheating issue - Order #AU456789,"Hello, I purchased the AuraPods Gen 2 on March 15, 2024 (Order #AU456789). After just a week of use, the left earbud starts overheating during charging and sometimes even during normal use. This is concerning and potentially dangerous. I've tried different chargers and outlets, but the issue persists. Please advise on how to resolve this or arrange for a replacement. Thank you.",Tech Support
141,EchoWave One won't pair,Why the hell won't my speaker connect to Bluetooth? Firmware 3.3.3. Fix it.,Tech Support
142,EchoWave Mini firmware update failed - Order #EWM20231115,"Hey there, so I got my EchoWave Mini last week (order #EWM20231115) and tried to update the firmware yesterday. It just keeps failing and now the device is stuck in some weird mode. The error says 'Update incomplete - try again' but it won't let me retry. Help?",Tech Support
143,SoundBar Flex overheating - Order #SB45678,"My SoundBar Flex (Order #SB45678, purchased on 10/15/2023) keeps overheating after 30 minutes of use. This is unacceptable. Fix it or refund me.",Tech Support
144,Is this thing waterproof or what?,Bought your product. Need to know if it can handle water. Don't give me some BS marketing answer.,Tech Support
145,EchoWave One buttons not working,"Hey there, so I got my EchoWave One (order #EW12345) on March 15th, and the buttons just stopped working out of nowhere. Like, I press them and nothing happens. Tried restarting it a bunch of times, but no luck. What's up with that?",Tech Support
146,Which audio product is right for me?,I'm looking to purchase a new audio device but I'm not sure which model would best suit my needs. Could you provide some recommendations based on different use cases?,Tech Support
147,EchoWave One - Buzzing/Static Noise Issue (Order #EW12345),"I received my EchoWave One (Order #EW12345) on October 15th, and I must say, I'm *thrilled* to hear this lovely buzzing and static noise every time I try to use it. It's really adding that special touch to my music. I've tried all the troubleshooting steps from your website (yes, I actually read them), but surprise, surprise - no improvement. Maybe you can explain why a brand new product sounds like it's from the 1920s? Looking forward to your *brilliant* solution.",Tech Support
148,Why is my PulseDock so quiet?,I recently got a PulseDock and the volume is way too low even at max settings. Is this normal or is there a fix?,Tech Support
149,EchoWave One not turning on?,"Hey, so my EchoWave One just won't turn on. Tried everything, still nada. What's up with that?",Tech Support
150,Can't find the manual for my headphones?,"Hi, I recently bought some wireless headphones from you guys but I can't find the manual anywhere. Is there a way to get a digital copy? Also, are there any setup instructions I should know about? Thanks!",Tech Support
151,Why did my AuraPods Gen 2 firmware fail after update?,Just updated to firmware 5.7.3 and now they're completely dead. Fix this ASAP.,Tech Support
152,Overheating issue,My WavePanel Touch gets really hot. Help!,Tech Support
153,Compatibility question about my system,I recently purchased one of your audio products and I'm not sure if it's compatible with my setup. Can you help me figure this out?,Tech Support
154,Compatibility question about my setup,"Hi, I recently purchased one of your audio interfaces and was wondering if it will work with my current setup. I'm using a Windows PC and some older studio monitors. Could you let me know if there are any compatibility issues I should be aware of? Thanks!",Tech Support
155,Compatibility question,Does this work with older devices?,Tech Support
156,This thing is garbage,Overheating like crazy. Fix it.,Tech Support
157,Need some advice on your awesome headphones!,Hey there! I recently got a pair of your wireless headphones and I'm loving them so far. I was wondering if you could recommend the best settings for listening to classical music? Thanks!,Tech Support
158,Static noise issue,My StreamLink Hub is making this awful buzzing sound. I've tried everything. Help!,Tech Support
159,Quick question about multipoint support,Hey there! Just got my new headphones and I'm loving them so far. Quick question - does this model support multipoint Bluetooth? Thanks!,Tech Support
160,EchoWave Mini not detected by app,"Hello, I recently purchased the EchoWave Mini (Order #EWM12345 on 05/15/2023) and I'm having trouble connecting it to the companion app. The app says it can't find the device, even though the EchoWave Mini is powered on and in pairing mode. I've tried restarting both the device and my phone, but the issue persists. Could you please assist me with this? Thank you!",Tech Support
161,Where's the damn manual?,Just got this thing and there's no manual. How am I supposed to use it?,Tech Support
162,WavePanel Touch not responding?,"Hi, I recently purchased the WavePanel Touch and the touch panel doesn't seem to respond. Could you help me troubleshoot this? Thanks!",Tech Support
163,Which model would you recommend?,"Hi, I'm looking to buy a new pair of headphones but I'm not sure which model would be best for me. I mostly listen to music at home and sometimes use them for calls. Could you suggest a good option?",Tech Support
164,Question about product waterproofing,"Hi, I recently purchased one of your wireless earbuds and was wondering if they are waterproof? I couldn't find clear information about this. Thanks for your help!",Tech Support
165,Will this work with my setup?,"Hey, just got your wireless earbuds. Not sure if they'll play nice with my phone. It's an older model. Can you check?",Tech Support
166,Can you actually help me pick something?,"I bought one of your wireless earbuds last year and now I need something better for the gym. But honestly, your website is confusing and I don't have time to figure it out myself. What's the point of having a support team if I have to do all the work?",Tech Support
167,Question about StreamLink Hub charging issue,"Hi, I'm having some trouble with my StreamLink Hub not charging properly. It's running firmware version 4.1.9. Could you help me figure out what might be wrong?",Tech Support
168,Why did your firmware update break my AuraPods?,I updated the firmware on my AuraPods Gen 2 and now they won't connect. This is unacceptable. Fix it.,Tech Support
169,EchoWave Mini - No Sound Issue,"Hello, I recently purchased an EchoWave Mini (Order #EWM12345 on 05/15/2023) and I'm experiencing an issue where there is no sound coming from the device. I've tried adjusting the volume and checking the connections, but the problem persists. Could you please assist me with troubleshooting or advise on next steps? Thank you for your help.",Tech Support
170,What does this thing even do?,Just got your product. No idea what features it has. Why is this not clear?,Tech Support
171,PulseDock not working,Voice assistant dead. Fix it!,Tech Support
172,EchoWave One - No Sound Issue (Order #EW12345),"I purchased the EchoWave One on 10/15/2023 (Order #EW12345) and it arrived on 10/20/2023. After setting it up, there is absolutely no sound coming from the device. I've tried all the troubleshooting steps in the manual, but nothing works. I expected better quality from your company. Please resolve this issue promptly.",Tech Support
173,Need advice on which product to choose?,Hi! I'm so excited about your products and need some help deciding. I want to use it for recording podcasts at home. Which model would you recommend? Thanks!,Tech Support
174,AuraPods Gen 2 keeps restarting - help?,"Hi, my AuraPods Gen 2 keeps restarting randomly. I'm on firmware version 2.3.5. Is this a known issue? Any way to fix it? Thanks.",Tech Support
175,Will this actually work with my system?,I bought one of your products recently and I'm not convinced it's compatible with my setup. Maybe you could clarify that before I waste more time?,Tech Support
176,Why is my StreamLink Hub not producing any sound?,I just set up my StreamLink Hub and there's no sound coming out. I've checked all the connections and everything seems fine. What's going on?,Tech Support
177,Firmware update issue with StreamLink Hub,"Hi, I recently tried updating my StreamLink Hub to firmware version 2.9.6, but it seems to have failed. The device isn't working properly now. Can you help me resolve this?",Tech Support
178,AuraPods won't charge,I've tried everything but they just won't charge. This is so frustrating.,Tech Support
179,Having trouble connecting my BassHub Pro,"Hi there, I recently purchased the BassHub Pro Limited and I'm having issues getting it to connect properly. Could you please help me troubleshoot this? Thanks!",Tech Support
180,"Yo, my BassHub Pro is getting crazy hot?","Hey, so my BassHub Pro Limited is overheating like crazy. It's running firmware 3.7.7. Is this normal or what?",Tech Support
181,AuraPods Gen 2 - No Sound Issue,"Hey there, so my AuraPods Gen 2 (firmware 4.9.1) just stopped producing sound out of nowhere. Tried resetting them, re-pairing, the whole shebang—still nada. Order #AU-2023-56789, bought on Oct 15, 2023. What gives? Help a buddy out!",Tech Support
182,Having trouble with my WavePanel Touch - won't turn on?,"Dear Support Team, I hope this message finds you well. I recently purchased a WavePanel Touch and have been absolutely thrilled with it until this morning when, much to my dismay, it simply refuses to turn on. I've tried all the usual troubleshooting steps, such as checking the power source and ensuring all connections are secure, but to no avail. I was wondering if you might be able to shed some light on what could possibly be causing this issue? Any assistance you could provide would be most gratefully received. Thank you ever so much for your time and help. Warmest regards,",Tech Support
183,WavePanel not working,Won't connect. Help!,Tech Support
